Defect ID,Title,App / Module / Page,Journey,Steps to Reproduce,Expected,Actual,Severity,Type,Repro Rate,Evidence,Status
PX-327,Attached photos and files are SILENTLY DISCARDED on submit; record stored with no attachments and the user is told it succeeded,"Portal - all intake forms, evidence/photo step",Attach photographic evidence to a report,"1. Open /portal/report/near-miss and complete steps 1 and 2  2. On What Happened, attach files via Upload Photos  3. Confirm they are listed in the UI  4. Complete the required narrative fields and press Submit",The attached evidence is uploaded and stored against the report,"Four files were attached (a 25 KB JPEG, a text file, a 6.8 MB JPEG, and the 25 KB JPEG again) and all four were listed in the UI. Submission succeeded with Submitted Successfully! Your reference number is: NM-2026-6D3DE96F. Not one byte of the files was sent. Proven at three independent layers on the same submission. UI: all four listed immediately before Submit. NETWORK: window.fetch AND XMLHttpRequest.prototype.open both instrumented across the entire submit - exactly one non-GET request fired, POST /api/v1/portal/reports/ returning 201, with bodyKind json, bodyBytes 1098, fileNames empty. No FormData, no multipart, no file parts, and no separate upload call before, during or after; 1098 bytes of JSON cannot contain a 6.8 MB photograph. STORED RECORD: GET /api/v1/near-misses/ for NM-2026-6D3DE96F (id 102) returns attachments: null. The model HAS an attachments field, so the schema supports evidence - the client never sends it. On an HSEQ platform the photograph is frequently the most valuable artefact on the record: investigation, RIDDOR, client audit pack, insurance. A fitter photographs a failed lifting eye, attaches it, sees it listed, presses Submit, is congratulated by name and given a reference number, and the photograph does not exist anywhere. Not recoverable - the only copy was in browser memory.",P0,Data,"1/1 executed, corroborated independently at network and database layers; second UI repro pending",Instrumented fetch+XHR capture of the full submit; success screen with reference NM-2026-6D3DE96F; API record showing attachments:null; UI file list captured pre-submit,New
PX-121,Forms publish with required fields bound to empty lookups; user dead-ends mid-journey,All portal intake forms,Log any case,1. Open any portal intake form  2. Complete step 1  3. Continue to a step containing a lookup-backed required field,"Block publication of a form with an unsatisfiable required field, or degrade gracefully with an admin alert",Form is published and navigable; the user reaches an unsatisfiable mandatory field only after investing effort. Warning banner shown but field remains mandatory.,P1,Functional,2/2,Observed on incident and complaint forms,New
PX-122,Same incident shows different dates on Dashboard vs Incidents list,Dashboard + /incidents,Review recent cases,1. Read Recent cases on /dashboard  2. Compare the same references on /incidents,"One unambiguous, labelled date per record",INC-2026-0057: 24/07/2026 vs 23/07/2026. INC-2026-0022: 23/07/2026 vs 11/10/2024 (~21 months). Both columns headed only 'Date'.,P1,Data,2/2,Side-by-side capture of both screens,New
PX-133,Investigation marked 'Completed' is simultaneously un-closable and entirely empty,/investigations/7 (REF-2026-0007),Investigate to closure,"1. Open /investigations/7  2. Read status  3. Read Closure Checklist  4. Read Findings, Conclusion, Lead Investigator, Started","Completion requires findings, conclusion, named lead and a satisfied closure checklist","Status 'Completed' in four places, Completed 19/07/2026. Closure Checklist reads 'Cannot Close Yet - MISSING REQUIRED SECTION'. Findings blank, Conclusion blank, Lead Investigator blank, Started 'Not started', Notes 0, CAPA 0.",P1,Data,2/2,evidence/PX-133-investigation-completed-but-cannot-close.jpg,New
PX-141,Investigation audit trail records only CREATED; the close to Completed is not recorded,/investigations/7 Timeline,Investigate to closure,1. Open /investigations/7  2. Open the Timeline tab,Every status transition recorded with actor and timestamp,"Sole event: 'CREATED / Revision / Actor #1 / 19/07/2026 20:29:55'. No event for the transition to Completed - no who, no when, no approver.",P1,Data,2/2,Timeline tab capture,New
PX-147,"One record's unbounded text field pushes Date, Severity and Status off-screen for the entire Near Miss register",/near-misses,Review near misses,"1. Open /near-misses  2. Attempt to read Date, Severity or Status",All columns visible,"Measured: table scrollWidth 2229px vs wrapper 1348px = 881px overflow. Header right edges - Reference 472px (visible), Details 2240px, Date 2345px, Severity 2440px, Status 2550px - all beyond the 1710px viewport. NM-2026-20033D1D contains a 214-character unbroken string in Details with no word-break, max-width or truncation, stretching that column and hiding three columns for all 44 records. PX-146 (originally logged as 'register has no date/status/severity') is WITHDRAWN and merged here - the columns exist, they are pushed out of view. Same root cause as PX-230 and PX-205: no register table constrains cell width.",P1,UI,2/2,Programmatic width and header-position measurement,New
PX-149,Three different 'overdue actions' figures across the app,Dashboard + /actions,Manage corrective actions,1. Read 'actions overdue' on /dashboard  2. Read the Overdue KPI tile on /actions  3. Read the Overdue filter chip on the same screen,One reconcilable figure,Dashboard '4 actions overdue'; /actions KPI tile 'Overdue 0'; /actions filter chip 'Overdue 10'. Tile and chip contradict on one screen at one moment.,P1,Data,2/2,Single-screen capture showing tile 0 and chip 10,New
PX-157,126 of 129 risks have never been assessed; 125 are overdue review,/risk-register,Risk oversight,1. Open /risk-register  2. Read the KPI tiles,Risks scored and reviewed on cycle,"129 Total, 125 Overdue Review, only 3 banded. Scoring engine verified working (a newly raised risk auto-scored 16 gross / 12 net). This is an unassessed register, not a broken calculator — but every risk-derived figure shown to a director is currently meaningless and '0 Outside Appetite' reads as reassurance.",P1,Data,2/2,Before/after comparison using a controlled new risk,New
PX-169,The investigation closure checklist is computed and displayed but not enforced,/investigations/:id,Close an investigation,1. Open a fresh investigation - checklist correctly blocks  2. Open REF-2026-0007 - status is Completed,Status cannot reach Completed until the checklist passes,"Fresh Draft correctly reports 'Cannot Close Yet - STATUS NOT COMPLETE, MISSING REQUIRED SECTION'. REF-2026-0007 sits at Completed while showing the same warning. The gate is advisory only. It also omits 'lead investigator assigned' as a condition.",P1,Functional,2/2,Both investigations compared side by side,New
PX-170,"A failed detail fetch leaves a permanent skeleton with no error, no retry and no timeout shown",/incidents/:id,Open a case,1. Open an incident while the API is degraded,Clear error state and a retry control,"GET /api/v1/incidents/132 hung ~50s then returned 503. Page showed the loading skeleton indefinitely, no error text anywhere, no retry. Persisted across two reloads over ~2 minutes.",P1,Functional,2/2,"Console: 'IncidentDetail/loadIncident: timeout of 30000ms exceeded' x2 and '404' x2 — caught and logged, never surfaced",New
PX-177,"No delete or archive path exists for any case record, anywhere in the product",All case modules + Admin,Remove or void an erroneous or test record,"1. Look for a delete/archive control on the list, detail page and edit mode of each module  2. Check Admin > Settings for data management or retention","An administrator can void or archive a record, with a reason, retained and auditable","VERIFIED ACROSS SIX RECORD TYPES: incidents (list/detail/edit), investigations, risks (also no close/retire despite status treat), near misses, actions/CAPA and Admin>Lookups all have NO delete, archive or remove control. Admin>Settings has no data-management, retention or purge section at all. Only Admin>Users has Edit + Deactivate - the pattern exists there and only there. Sole workaround is a developer deleting directly against the production database.",P1,Functional,2/2,Soft-delete/archive path shipped #1472 (merged 2026-07-31). Walk-away residue soft-delete ops PR #1524 OPEN.,Code closed / residue ops open
PX-179,"Session expiry drops the user to a login screen with no warning, explanation or return path",Global auth,Any long-running task,1. Work in the app until the session expires,Warning before expiry; explanation on the login screen; return to the previous page after sign-in,"Silent redirect to /login. Login screen reads only 'Sign in to manage your governance'. Unsaved work lost, no return path. Console shows session state flickering between expired and restored.",P1,Functional,2/2,Console [PortalAuth] Session expired / Session restored sequence,New
PX-181,Global search renders a server error as 'No results found',Global search palette,Find a case,1. Press Ctrl/Cmd+K  2. Search 'Cut Wrist' (exact title of INC-2026-0057),"Either the matching incident, or a visible error","GET /api/v1/search?q=Cut+Wrist -> HTTP 503, while the UI displays 'No results found - Try different keywords or adjust your filters'. A confident false negative: the user is told the case does not exist.",P1,Functional,2/2,Network log 503 alongside the no-results message,New
PX-206,Complaint edits are rejected by a hidden state machine and the user's work is discarded,/complaints/:id,Resolve a customer complaint,1. Open an acknowledged complaint  2. Edit  3. Enter a resolution  4. Save Changes,Resolution saved,"PATCH returns HTTP 409. Error appears only as a transient toast: 'Cannot transition from ComplaintStatus.ACKNOWLEDGED to ComplaintStatus.ACKNOWLEDGED'. Editing any field re-submits the current status, so a no-op transition is rejected - the resolution cannot be saved without also moving the status. Selecting 'Resolved', which the dropdown openly offers, is also rejected. Edits are discarded each time. NOT ESTABLISHED: whether any transition succeeds.",P1,Functional,3/3,409 on the wire; toast text captured; sidebar still reads 'No resolution recorded yet',New
PX-211,Dashboard reports more than double the overdue safety assets the register does,/dashboard vs /safety-assets,Statutory compliance oversight,1. Read Asset health on the dashboard  2. Read the Overdue tile on the register,One overdue figure,"Dashboard: 1908 assets, 871 overdue, 76 quarantined. Register: 1445 in service, 427 overdue, 76 quarantined. Quarantined agrees exactly and totals reconcile (1445 + 463 removed = 1908), so the divergence is specific to overdue: 871 vs 427. Probable cause (inferred): the dashboard counts removed assets as overdue.",P1,Data,2/2,Both screens compared in one session,New
PX-212,"A quarantined safety asset records no reason, no date and no corrective action",/safety-assets/:id,Control failed equipment,1. Open asset 1621 (quarantined),"Quarantine reason, date, owner and linked CAPA","Asset 1621 Battery Charger shows Owner -, Expiry -, Next due -, no quarantine reason, no quarantine date, no linked case, no open action - and remains assigned to vehicle LA23HXM at site Plantexpand. For lifting and electrical equipment this is the core statutory control; nothing observed prevents its use.",P1,Data,2/2,Asset record inspection,New
PX-216,"Audit reporting pack reports a 95.8% fail rate and 100% essential compliance on the same screen, then congratulates the user",/audits/analytics,Present assurance results,1. Open /audits/analytics,Internally consistent figures,"Renders simultaneously: Pass rate 4.2%, Fail rate 95.8%, Essential compliance 100.0%, Incomplete critical items 0, and the message 'No incomplete essential items - nice work.' The same dataset is presented as near-total failure and total compliance with a congratulatory note attached. The screen describes itself as a Reporting pack, so it is explicitly intended for client-facing use.",P1,Data,2/2,Single screen capture,New
PX-219,13 of the 15 published audit templates are test artefacts; only two real templates exist,/audits Schedule Audit,Schedule a real audit,1. Open Schedule Audit  2. Read the template list,A library of real Plantexpand templates,"Ten CUJ-AT-01..10 test templates plus 'TEST 3', 'Uat' and a UAT-THIN template. Only 'Field Engineer Internal Audit (v4)' and 'Quarterly Internal Audit (v3)' are genuine. An auditor scheduling real work picks from a list that is 87% test data, and the business has two real templates for a programme needing Achilles UVDB, Planet Mark, LOLER, PUWER and vehicle inspection regimes.",P1,Data,2/2,Full option list captured,New
PX-220,Library search does not filter; it returns every document for any query,/documents,Find a policy,1. Search 'zzzqqxwv',"No results, or only matching documents",Returns all documents with no empty state; no search request is issued (network shows only the standard list call). The placeholder advertises 'AI semantic from 3 characters'. With PX-181 and PX-130 this means there is no working search anywhere in QGP.,P1,Functional,2/2,Nonsense-query control test plus network log,New
PX-223,Analytics reports more open RTAs than exist in total,/analytics RTAs tab,Executive reporting,1. Open the RTAs tab  2. Read the detail row,Open + Closed = Total,"RTAs: Total 31, Open 32, Closed 0. Open exceeds Total - arithmetically impossible. The live register holds 32, so Total under-counts while Open is correct; the two figures come from queries that disagree. Every other module's arithmetic holds.",P1,Data,2/2,Detail row,New
PX-224,Incident trend reported as 500.0%,/analytics Incidents tab,Executive reporting,1. Open the Incidents tab,A meaningful trend figure,"Shows Trend 500.0% while every other module shows 'No change', on the same tab that reports 22 incidents for the period above a visibly blank chart captioned 'No incident trend points for this period'.",P1,Data,2/2,Detail row plus chart,New
PX-227,Admin Branding settings are empty and black while the live application shows real branding,/admin/settings,Configure the platform,1. Open Admin > Settings > Branding,The configuration actually in force,"Company name empty, logo URL empty, primary and accent colours #000000 - while the running application displays 'Plantexpand Limited', a logo and a green theme. The page does not reflect live configuration, and pressing Save Changes would plausibly write those blanks over the real branding platform-wide. A destructive action reachable in one click, with no indication the values shown are not current.",P1,Data,2/2,Settings page vs live application,New
PX-230,The only control that raises a van-check defect is rendered off-screen,/vehicle-checklists,Raise a defect from a failed van check,1. Open Van Checklists  2. Look for the Flag control on a row with a reported defect,Flag reachable where an operator looks,"Measured: table scrollWidth 1627px vs wrapper 1348px = 279px horizontal overflow; the Flag button's right edge sits at 1936px against a 1710px viewport - off-screen, reachable only by horizontally scrolling a 13-column table. Most probable cause of 278 Failed Checks and 94 Flagged Records producing 0 Open Defects. Raw PAMS data contains real faults (record 24958, DL73NKG: 'SERVICE LIGHT ON'). Unexplained: 94 Flagged Records vs 0 Open Defects.",P1,UI,2/2,Programmatic width measurement plus raw row data,New
PX-234,ISO compliance percentages are computed from fallback data because no real standards are configured,/compliance and /standards,Report ISO conformance,1. Read the standard tiles  2. Open /standards,Percentages derived from configured standards,"/compliance reports ISO 9001 57%, ISO 14001 15%, ISO 45001 28%, ISO 27001 7% - each labelled 'fallback'. /standards contains exactly one standard, a UAT test artefact, and states 'Compliance Setup Required'. The percentages rest on no configured data, and 'fallback' reads as a status rather than a warning.",P1,Data,2/2,Both screens compared,New
PX-235,Four different compliance scores across four screens,/compliance /ims /compliance-automation /analytics,Executive compliance reporting,1. Compare the four screens,One canonical figure,/compliance ISO 9001 57%; /ims control implementation 0% and evidence coverage 19%; /compliance-automation 0%; /analytics 0%. /ims describes itself as where canonical scores live yet reports 0% against 57% elsewhere.,P1,Data,2/2,Four screens,New
PX-238,The Skills Matrix identifies employees by raw ID and test code instead of by name,/workforce/dashboard,Check who is competent on which equipment,1. Open the Competency Dashboard,Employee names,"Matrix rows read 900, 244, 245, 246, UAT-19190324, RBAC-192538, #224, #225. Names exist and render correctly in /workforce/engineers and /workforce/assessments in the same module. The matrix is the screen a manager uses to check competency and cannot be read.",P1,Data,2/2,Matrix vs employee roster,New
PX-243,The Certificate shelf is completely empty,/assurance/certificates,Produce a certificate on client demand,1. Open Certificate shelf,Current certificates,"Valid 0, Due soon 0, Expired 0, Unknown 0 - 'No certificates on the shelf yet'. Tabs for Compliance register, Planet Mark, UVDB Achilles and Governance Library all empty. Clients require current ISO, UVDB, Planet Mark and insurance evidence on demand; not one certificate is recorded.",P1,Data,2/2,All tabs,New
PX-244,"The UVDB Achilles module is 40% built, with 9 of 15 sections carrying no question text",/uvdb,Conduct a UVDB assessment,1. Open UVDB Achilles,A complete assessment,"States '6 of 15 sections have loaded question text - sections 3-11 await official v11.8 PDF ingest'. 6 sections loaded, 72 max score, 0 active audits despite 12 UVDB audits on the Audits board. Achilles UVDB Verify B2 is the supply-chain qualification that enables bidding for utilities work.",P1,Functional,2/2,Module header and protocol tab,New
PX-250,Copilot reports 'Action completed' for work it did not perform,Global header Copilot,Ask Copilot to log an incident,1. Ask Copilot to create an incident  2. Check the register,"Either creation, or an honest refusal","Replied 'Shall I proceed with creating this incident?' and immediately 'Action completed'. The register still held 59 incidents and contained no such record. It asks for confirmation and declares completion simultaneously, then claims a write it never made - on the reporting of safety events.",P1,Functional,2/2,Register count before and after,New
PX-251,The ISO 27001 Statement of Applicability is 79 identical boilerplate entries that never name Plantexpand,/compliance Annex A SoA,Produce a Statement of Applicability,1. Open Annex A SoA,Control-specific applicability justifications,"Programmatic count: 'Control is applicable to Organisation operations.' appears 79 times; 'Implementation evidence is pending - gap identified for remediation.' appears 79 times; 'Plantexpand' appears zero times. An SoA is a controlled document a certification auditor reads line by line, and this one is exportable.",P1,Content,2/2,Programmatic string count of the modal,New
PX-252,The Audit Pack button is dead,/compliance,Produce an audit pack for a certification body,"1. Click Audit Pack (twice, verified coordinates)",A generated pack or a dialog,"No dialog, no toast, no network request (filtered on pack|export|report|download - nothing), no console error, no download. The single most client-facing output of the compliance module is inert.",P1,Functional,2/2,Network and console capture across two attempts,New
PX-253,ISO 45001 sits at 28% with 19 gaps and ISO 27001 at 7% with 101 gaps,/compliance,Report conformance to clients,1. Read the standard tiles,Conformance reflecting the real position,"ISO 45001:2018 is the occupational health and safety standard - the one that matters most for a plant and vehicle business and the one utility clients ask about - and is the second-worst scored. Read with PX-234, none of these percentages rests on configured data.",P1,Data,2/2,Standard tiles,New
PX-256,UVDB audit counts and scores contradict the Audits board,/uvdb vs /audits,Report UVDB performance,1. Compare both screens,Consistent figures,"UVDB module: 3 total audits, 3 completed, 99% average. Audits board: 12 Achilles UVDB audits, module average 11%. Disagreement on both count (3 vs 12) and score (99% vs 11%).",P1,Data,2/2,Both screens,New
PX-259,The Customer Audits programme shows zero runs while 14 external audits exist,/customer-audits vs /audits,Oversee customer-raised audits,1. Compare both screens,External audits surfaced in the programme,"0 Runs across all three tabs, while the Audits board holds 12 Achilles UVDB and 2 Planet Mark audits, several tagged THIRD PARTY. No external audit carries the customer/external tag that would surface it here.",P1,Data,2/2,Both screens,New
PX-263,Document Control is completely empty while uncontrolled policies circulate in the Library,/document-control,Control a policy document,1. Open Document Control,Policies under controlled lifecycle,"Reports 'No controlled documents' - nothing has ever entered the workflow - while the Library holds the H&S Policy (Citation Limited 19/8/2025), Incident Management Policy, Quality Assurance Manual and EDI Policy as plain uploads. ISO 9001 clause 7.5 and ISO 45001 clause 7.5 both require documented information to be controlled for version, approval, review and retention. A direct, checkable certification gap.",P1,Functional,2/2,Both modules compared,New
PX-264,"73 audit-escalated risks have sat untriaged for three months, all unassigned",/risk-register import triage,Triage risks raised by external auditors,1. Open Import triage,Risks accepted or rejected and owned,"73 risks raised from external audit imports, each correctly cross-linked to source audit, findings and CAPAs. Every one dated 6-8 April 2026, every one Unassigned, none Accepted or Rejected. These are risks Achilles/UVDB auditors raised against Plantexpand.",P1,Data,2/2,Triage queue,New
PX-270,LTIFR is structurally always zero because lost-time injuries can never be recorded,/analytics/hs-performance,Report LTIFR to a client,"1. Open H&S Performance  2. Read LTIs, RIDDOR and LTIFR for all years",LTIFR reflecting real lost-time injuries,"Reports LTIs 0 and RIDDOR 0 for 2024, 2025 and 2026 - LTIFR 0.00 every year - against 27 injuries across the same period. Root cause: the incident record exposes 'LTI: No / Days lost: -' but no intake form captures those fields (PX-132) and no RIDDOR classification lookup exists. LTIFR is the headline safety metric utility clients require at pre-qualification; QGP will report 0.00 indefinitely and it reads as excellent performance rather than an unpopulated field.",P1,Data,2/2,Three-year table cross-checked against intake forms,New
PX-271,"2024 annual hours are ~4.4x lower than 2025 and 2026, inflating that year's AFR",/admin/hs-reporting-hours,Report AFR trend,1. Compare annual hours across the three years,Comparable annual hours,"Hours: 2024 = 50,859.62; 2025 = 223,020; 2026 = 231,516, all marked 'Calculated' from FTE estimate. 2024 is also the only year given to two decimal places. Hours are the AFR denominator, so the published 2024 AFR of 7.86 is likely overstated by roughly 4x (corrected figure nearer 1.8). The three-year trend 7.86 to 9.86 to 0.43 is not comparable year on year and nothing on screen says so.",P1,Data,2/2,Admin hours table vs H&S Performance,New
PX-272,The Form Builder is empty; the six live intake forms are not managed by it,/admin/forms,Govern and amend intake forms,1. Open Admin > Forms,The forms actually in service,"Reports 'No forms found - Get started by creating your first form' across all categories (Incident, Near Miss, Complaint, RTA, Audit, Custom), while six intake forms are demonstrably live (PX-158) and the Admin dashboard reports Active Forms 0 (PX-186). Confirms definitively that live forms are not managed by the Form Builder. An administrator cannot see, version, amend or govern the forms in use, and every intake change requires a developer - which is why the lookup-driven P0s cannot be resolved from the admin console.",P1,Functional,2/2,Form Builder vs live form inventory,New
PX-274,"/admin/contracts renders the Lookup Tables module, not contracts",/admin/contracts,Manage customer contracts,1. Navigate to /admin/contracts,Contract management,Displays 'Lookup Tables - Manage lookup values used across configurable forms'. URL does not change; the wrong module is served. The Admin dashboard advertises contract management and the API exposes /api/v1/admin/config/contracts. Plantexpand's work is contract-based and Customer/Contract fields on incidents and complaints always read 'Not provided' (PX-210) - the screen that would populate them cannot be reached.,P1,Functional,2/2,Direct navigation,New
PX-275,All three engineer audience groups are test artefacts with zero members,/admin/engineer-groups,Launch a document campaign to a real audience,1. Open Engineer groups,Real audience groups,"Contains only FIXUP-192910 doc grp (0 members), UAT-GAP-20260719192538 rbac grp (0 members) and UAT-THIN-20260719190324 group1 (0 members). Document campaigns are the mechanism for proving policy acknowledgement to an auditor; there is no real audience group to send one to, and every existing group is empty. Upstream cause of 17% campaign completion across only 2 active campaigns.",P1,Data,2/2,Group listing,New
PX-277,The portal RTC form accepts a submission with its mandatory description empty,/portal/report/rta,Report a collision from the portal,1. Complete steps 1-4  2. Leave 'Full Description *' blank on step 5  3. Submit,Submission blocked until the required field is completed,"Submission succeeded. No validation, no error, no field highlight; confirmation screen displayed RTA-2026-017830B4 and the record is live. Submit was enabled throughout despite the required field being empty - unlike steps 1 and 2 where Continue was correctly disabled. A collision report carrying insurance, liability and potential injury consequences can be filed with no narrative. With PX-202 (no independent reporter capture) a collision record can exist with neither an account of events nor a person to ask.",P1,Functional,2/2,"Empty-field submission, outcome verified in the register",New
PX-282,"Every step transition in the complaint form requires two clicks, and 'Submit' appears while the previous step is displayed",/portal/report/complaint,Move through the complaint form,1. Complete a step  2. Press Continue once  3. Observe stepper vs form body,"Stepper, button and body in the same state","Reproduced at both transitions. The first click advances the stepper, progress bar and button label while the body continues showing the previous step's fields; a second click renders the correct step. At the step 2 to 3 transition the button changes to 'Submit' while the user is still looking at step 2's complainant fields - a user who presses it believes they have submitted the complaint when they have merely advanced a step.",P1,Functional,2/2,"Both transitions, screenshotted",New
